x,y,z,walker
50.0585,0.916024,8.48036,1
50.0585,0.916024,8.48036,1
50.0585,0.916024,8.48036,1
49.779,0.520555,1.89266,1
49.4922,0.152621,1.71519,1
49.4922,0.152621,1.71519,1
49.4803,0.259745,-0.168088,1
49.4803,0.259745,-0.168088,1
49.7189,0.430919,-0.105062,1
49.7189,0.430919,-0.105062,1
49.6528,-0.176237,2.91789,1
49.6528,-0.176237,2.91789,1
49.6528,-0.176237,2.91789,1
49.6107,-0.363766,8.14596,1
49.6107,-0.363766,8.14596,1
49.4074,-0.254476,13.8303,1
49.3277,0.178822,23.5478,1
49.1986,0.192283,25.7411,1
49.0144,0.299116,20.8539,1
49.0144,0.299116,20.8539,1
48.1482,0.297308,20.6272,1
48.1482,0.297308,20.6272,1
47.2264,-0.179878,20.1297,1
47.4902,-0.114528,17.6447,1
46.9537,-0.119443,26.2491,1
47.3886,-0.0260791,15.1413,1
47.3886,-0.0260791,15.1413,1
47.7967,-0.00171344,17.6361,1
48.112,0.438671,19.455,1
48.6209,0.656369,18.5259,1
48.5046,0.0347318,12.766,1
48.5046,0.0347318,12.766,1
49.3371,0.293198,13.0805,1
49.3371,0.293198,13.0805,1
49.4794,0.761047,28.3501,1
49.6311,0.745198,28.518,1
49.6311,0.745198,28.518,1
49.5133,-0.156864,34.6198,1
49.5133,-0.156864,34.6198,1
50.0521,-0.640713,34.4085,1
49.777,-0.553982,29.3495,1
49.777,-0.553982,29.3495,1
49.777,-0.553982,29.3495,1
49.777,-0.553982,29.3495,1
49.7212,-0.52921,27.5859,1
49.6866,-0.876025,25.0736,1
50.021,-0.0369266,15.1867,1
50.021,-0.0369266,15.1867,1
50.021,-0.0369266,15.1867,1
49.7487,-0.015253,21.5295,1
49.777,-0.172279,20.0111,1
52.4382,0.721257,21.0184,2
51.2945,0.882396,6.02806,2
52.3376,1.7045,16.6583,2
52.3851,1.73029,16.2839,2
51.9971,1.49724,16.5586,2
51.3548,1.02161,25.6372,2
51.3153,1.03513,25.2196,2
51.3153,1.03513,25.2196,2
52.0859,0.762535,34.037,2
51.7108,1.03716,24.6907,2
51.7108,1.03716,24.6907,2
51.7108,1.03716,24.6907,2
51.8277,1.13919,24.6794,2
51.8277,1.13919,24.6794,2
49.9182,0.733141,11.2538,2
49.9182,0.733141,11.2538,2
49.7312,0.625537,8.02108,2
49.4874,0.315371,10.5761,2
49.3731,0.348912,13.2366,2
49.3731,0.348912,13.2366,2
49.3731,0.348912,13.2366,2
49.6997,-0.328351,11.9476,2
49.1796,-0.589051,12.6481,2
48.7223,-0.860439,4.89582,2
48.7223,-0.860439,4.89582,2
48.9783,-0.214408,16.3738,2
49.8066,-0.17694,14.2971,2
50.0412,-0.47592,12.3764,2
49.9294,-0.297056,31.4358,2
49.9294,-0.297056,31.4358,2
49.9369,-0.303561,31.421,2
49.9369,-0.303561,31.421,2
49.9369,-0.303561,31.421,2
50.5986,0.0368321,39.7386,2
50.3875,0.738246,42.7927,2
50.3875,0.738246,42.7927,2
50.3875,0.738246,42.7927,2
50.291,0.747566,33.8642,2
50.291,0.747566,33.8642,2
50.291,0.747566,33.8642,2
50.291,0.747566,33.8642,2
50.291,0.747566,33.8642,2
